Site,ENSO_Phase,Month_Name,Avg_Monthly_New_SWE,SD_Monthly_New_SWE,N_Years
Stampede Pass,Moderate El Niño,Nov,9.600000000000001,1.8384776310850233,2
Stampede Pass,Strong El Niño,Apr,2.2599999999999993,1.97053292284093,5
Stampede Pass,Strong El Niño,Dec,11.68,3.9644671773139946,5
Stampede Pass,Strong El Niño,Feb,6.899999999999998,1.7888543819998324,5
Stampede Pass,Strong El Niño,Jan,12.459999999999999,2.4337214302380636,5
Stampede Pass,Strong El Niño,Mar,4.679999999999999,2.341367122003718,5
Stampede Pass,Strong El Niño,Nov,5.079999999999999,3.233728498189048,5
Stevens Pass,Strong La Niña,Apr,4.8,3.5594943461115363,3
Stevens Pass,Strong La Niña,Dec,11.700000000000001,4.978955713801841,3
Stevens Pass,Strong La Niña,Feb,8.233333333333336,2.8005951748393296,3
